Date,Income/Expenses,Category,Memo,Amount
2019-03-10,Expenses,Food,"Mixed Rice @Foodfare, Dover",-3.9
2019-03-10,Expenses,Drinks,"Bubble Tea @Li-Ho, Star Vista, Buona Vista",-1.0
2019-03-10,Expenses,Drinks,"Mineral Water @Cold Storage, Star Vista, Buona Vista",-0.3
2019-03-10,Expenses,Food,"Pizza @Pezzo, Star Vista, Buona Vista",-6.9
2019-03-09,Expenses,Food,"Mixed Rice @Kopitiam, Vivo City, Harbourfront",-5.2
2019-03-09,Expenses,Food,"Pizza @Loui's Pizza, Universal Studio, Harbourfront",-10.0
2019-03-09,Expenses,Food,"Chicken Ham @Go-Stop, Clementi Mall, Clementi",-2.3
2019-03-09,Expenses,Food,"Breakfast @Yakun Kaya Toast, Clementi Mall, Clementi",-2.5
2019-03-08,Expenses,Fruits,"Juice @Boost Juice Bars, Holland Village",-3.0
2019-03-08,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-03-08,Expenses,Food,"Japanese Food @Food Republic, 313 Somerset, Somerset",-6.3
2019-03-07,Expenses,Drinks,"Mineral Water @Fairprice Xtra, JEM, Jurong East",-0.7
2019-03-07,Expenses,Snacks,"Kinderjoy Bueno @Fair Price Xtra, JEM, Jurong East",-1.9
2019-03-07,Expenses,Food,"Seafood Fried Rice @Cook House,  JEM, Jurong East",-5.8
2019-03-07,Expenses,Food,"Yakitori @Tori-Q, Clementi Mall, Clementi",-7.2
2019-03-06,Expenses,Drinks,"Lemon Boom @Heytea, ION Orchard, Orchard",-2.8
2019-03-06,Expenses,Food,"Salmon Pepper Rice @Food Opera, ION Orchard, Orchard",-8.2
2019-03-06,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.3
2019-03-05,Expenses,Groceries,"Sunshine's HKD/MT Bread + Snacks + Small Milk @Fairprice Xtra, JEM, Jurong East",-5.0
2019-03-05,Expenses,Food,"Double Mc Spicy @Mc. Donald's, Jurong East",-10.0
2019-03-05,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.1
2019-03-04,Expenses,Food,"Mala Hot Soup @Kampoeng, SIM, Clementi",-6.4
2019-03-04,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-03-03,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.8
2019-03-03,Expenses,Drinks,"Very Strawberry @Heytea, ION Orchard, Orchard",-4.3
2019-03-03,Expenses,Snacks,"Snacks @Old Chang Kee & Tori-Q, ION Orchard, Orchard",-5.0
2019-03-02,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.4
2019-03-02,Expenses,Home,"Bottle @Japan Home, Star Vista, Buona Vista",-1.8
2019-03-02,Income,Cash Withdrawal,,200.0
2019-03-02,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.3
2019-03-01,Expenses,Food,"Popcorn Chicken @Kampoeng, SIM, Clementi",-5.0
2019-03-01,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.1
2019-03-01,Income,Last Month's Balance,February's Balance,154.8
2019-02-28,Expenses,Home,AC Service Fee for 4 Months,-30.0
2019-02-28,Expenses,Transportation,Top Up Ezlink Card,-50.0
2019-02-28,Expenses,Groceries,"Milk + Sunshine's ENR W Bread @Fairprice, Clementi Mall, Clementi",-5.0
2019-02-28,Expenses,Food,"Bee Hoon @Food Fare, Clementi Mall, Clementi",-4.5
2019-02-28,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-02-27,Expenses,Groceries,"Bread @Fairprice, Dover Gardens, Dover",-2.0
2019-02-27,Expenses,Food,"Mini Wok @Kampoeng, SIM, Clementi",-4.5
2019-02-27,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-02-26,Expenses,Food,"Mala Hot Soup @Kampoeng, SIM, Clementi",-6.3
2019-02-26,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-02-25,Expenses,Food,"Japanese Food @Kampoeng, SIM, Clementi",-5.8
2019-02-25,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-02-24,Expenses,Food,"Mixed Rice @Foodfare, Dover",-3.6
2019-02-24,Expenses,Food,"French Fries @Mc. Donald's, Metropolis, Buona Vista",-3.2
2019-02-24,Expenses,Food,"Happy Sharing Box @Mc. Donald's, Metropolis, Buona Vista",-5.6
2019-02-23,Income,Cash Withdrawal,,100.0
2019-02-23,Expenses,Gift,,-2.3
2019-02-23,Expenses,Food,"Buttermilk Crispy Chicken @Mc. Donald's, Clementi Mall, Clementi",-12.0
2019-02-23,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2019-02-22,Expenses,Groceries,"Sunshine's LS DIGSTV W/BRD @Fairprice, Dover Gardens, Dover",-2.2
2019-02-22,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.6
2019-02-22,Expenses,Stationary,"Foolscap Paper @Popular Book Store, SIM, Clementi",-2.6
2019-02-22,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-02-21,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-02-21,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
