Date,Income/Expenses,Category,Memo,Amount
2023-11-26,Expenses,Food,"Sushi @Sushiro, Suntec City, Promenade",-18.5
2023-11-25,Expenses,Food,"Western Food @El Carbon, Clementi",-9
2023-11-25,Expenses,Food,"Chicken @Tenderbest, Clementi",-8
2023-11-24,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.3
2023-11-23,Expenses,Food,"Pasta @Saizeriya, Orchard Gateway, Somerset",-13.7
2023-11-23,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.6
2023-11-22,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.4
2023-11-22,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-11-21,Expenses,Dessert,"Shark Attack @Shake Shack, Suntec City, Esplanade",-3.9
2023-11-21,Expenses,Food,"Burger @Shake Shack, Suntec City, Esplanade",-16.3
2023-11-20,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4
2023-11-20,Expenses,Food,Mixed Rice @Tanjong Pagar,-6.5
2023-11-19,Expenses,Transportation,Top Up Ezlink Card,-50
2023-11-19,Expenses,Sport,"Gym Session @The Gym Pod, Holland Village",-11.9
2023-11-19,Expenses,Food,"Western Food @Gastronomia, Holland Village",-15.3
2023-11-19,Expenses,Dessert,"Dessert @Yolé, Chinatown",-8.8
2023-11-19,Expenses,Food,"Salted Egg Pork Rice @3 Meals A Day, Sim Lim Square, Rochor",-7.2
2023-11-18,Expenses,Food,"Chicken @Jollibee, Clementi",-20.5
2023-11-17,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.4
2023-11-17,Expenses,Food,Mixed Rice @Tanjong Pagar,-7
2023-11-16,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-3.2
2023-11-16,Expenses,Food,Mixed Rice @Tanjong Pagar,-7
