Date,Year,ISO Year,Month,Month Label,Week,Week Label,Day,Category,Item,Vendor,Vendor Location,District,Income/Expenses,Amount,Formatted Date,Outlier
2021-08-01,2021,2021,8,August,30,W30,Sunday,Balance from Previous Month,July's Balance,Blank,Blank,Blank,Income,58.7,01/08/2021,False
2023-07-19,2023,2023,7,July,29,W29,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,19/07/2023,False
2023-07-10,2023,2023,7,July,28,W28,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,10/07/2023,False
2023-07-01,2023,2023,7,July,26,W26,Saturday,Balance from Previous Month,June's Balance,Blank,Blank,Blank,Income,175.4,01/07/2023,False
2023-06-30,2023,2023,6,June,26,W26,Friday,Balance Adjustment,Balance Adjustment,Blank,Blank,Blank,Income,100.0,30/06/2023,False
2023-06-21,2023,2023,6,June,25,W25,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,21/06/2023,False
2023-06-11,2023,2023,6,June,23,W23,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,11/06/2023,False
2023-06-01,2023,2023,6,June,22,W22,Thursday,Balance from Previous Month,May's Balance,Blank,Blank,Blank,Income,164.1,01/06/2023,False
2023-05-31,2023,2023,5,May,22,W22,Wednesday,Balance Adjustment,Balance Adjustment,Blank,Blank,Blank,Income,100.0,31/05/2023,False
2023-05-28,2023,2023,5,May,21,W21,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,28/05/2023,False
2023-05-11,2023,2023,5,May,19,W19,Thursday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,11/05/2023,False
2023-05-01,2023,2023,5,May,18,W18,Monday,Balance from Previous Month,April's Balance,Blank,Blank,Blank,Income,121.1,01/05/2023,False
2023-04-30,2023,2023,4,April,17,W17,Sunday,Balance Adjustment,Balance Adjustment,Blank,Blank,Blank,Income,100.0,30/04/2023,False
2023-04-19,2023,2023,4,April,16,W16,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,19/04/2023,False
2023-04-09,2023,2023,4,April,14,W14,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,09/04/2023,False
2023-04-01,2023,2023,4,April,13,W13,Saturday,Balance from Previous Month,March's Balance,Blank,Blank,Blank,Income,172.9,01/04/2023,False
2023-03-31,2023,2023,3,March,13,W13,Friday,Balance Adjustment,Balance Adjustment,Blank,Blank,Blank,Income,200.0,31/03/2023,False
2023-03-22,2023,2023,3,March,12,W12,Wednesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,22/03/2023,False
2023-03-13,2023,2023,3,March,11,W11,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,13/03/2023,False
